Primary Type,Description,severity_score
BATTERY,AGGRAVATED DOMESTIC BATTERY - OTHER FIREARM,100.0
BATTERY,AGGRAVATED DOMESTIC BATTERY - HANDGUN,100.0
HOMICIDE,INVOLUNTARY MANSLAUGHTER,98.0
HOMICIDE,FIRST DEGREE MURDER,98.0
HOMICIDE,RECKLESS HOMICIDE,98.0
KIDNAPPING,AGGRAVATED,93.0
KIDNAPPING,CHILD ABDUCTION / STRANGER,93.0
BATTERY,AGGRAVATED POLICE OFFICER - HANDGUN,92.0
BATTERY,AGGRAVATED - HANDGUN,92.0
BATTERY,AGGRAVATED - OTHER FIREARM,92.0
BATTERY,AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT,91.0
KIDNAPPING,FORCIBLE DETENTION,88.0
HUMAN TRAFFICKING,COMMERCIAL SEX ACTS,85.0
HUMAN TRAFFICKING,INVOLUNTARY SERVITUDE,85.0
OFFENSE INVOLVING CHILDREN,AGGRAVATED SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,85.0
BATTERY,AGGRAVATED POLICE OFFICER - KNIFE / CUTTING INSTRUMENT,83.0
BATTERY,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,83.0
BATTERY,AGGRAVATED PROTECTED EMPLOYEE - KNIFE / CUTTING INSTRUMENT,83.0
ASSAULT,AGGRAVATED - OTHER FIREARM,82.0
ASSAULT,AGGRAVATED POLICE OFFICER - OTHER FIREARM,82.0
ASSAULT,AGGRAVATED PROTECTED EMPLOYEE - HANDGUN,82.0
ROBBERY,ARMED - OTHER FIREARM,82.0
ASSAULT,AGGRAVATED PROTECTED EMPLOYEE - OTHER FIREARM,82.0
ASSAULT,AGGRAVATED POLICE OFFICER - HANDGUN,82.0
ROBBERY,ARMED - HANDGUN,82.0
ASSAULT,AGGRAVATED - HANDGUN,82.0
BATTERY,AGGRAVATED OF A CHILD,80.0
BATTERY,AGGRAVATED OF AN UNBORN CHILD,80.0
KIDNAPPING,UNLAWFUL VISITATION INTERFERENCE,78.0
KIDNAPPING,UNLAWFUL RESTRAINT,78.0
KIDNAPPING,KIDNAPPING,78.0
ARSON,AGGRAVATED,75.0
ASSAULT,AGGRAVATED PROTECTED EMPLOYEE - KNIFE / CUTTING INSTRUMENT,73.0
ASSAULT,AGGRAVATED POLICE OFFICER - KNIFE / CUTTING INSTRUMENT,73.0
ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,73.0
ROBBERY,ARMED - KNIFE / CUTTING INSTRUMENT,73.0
BATTERY,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,73.0
WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,72.0
WEAPONS VIOLATION,UNLAWFUL SALE - OTHER FIREARM,72.0
WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,72.0
WEAPONS VIOLATION,DEFACE IDENTIFICATION MARKS OF FIREARM,72.0
WEAPONS VIOLATION,UNLAWFUL SALE - HANDGUN,72.0
WEAPONS VIOLATION,UNLAWFUL USE - OTHER FIREARM,72.0
WEAPONS VIOLATION,UNLAWFUL SALE - DELIVERY OF FIREARM AT SCHOOL,72.0
WEAPONS VIOLATION,UNLAWFUL USE - HANDGUN,72.0
ROBBERY,ATTEMPT ARMED - OTHER FIREARM,72.0
WEAPONS VIOLATION,UNLAWFUL POSSESSION - OTHER FIREARM,72.0
WEAPONS VIOLATION,POSSESS FIREARM / AMMUNITION - NO FOID CARD,72.0
ROBBERY,ATTEMPT ARMED - HANDGUN,72.0
ROBBERY,AGGRAVATED,70.0
OFFENSE INVOLVING CHILDREN,DISTRIBUTION PHOTOGRAPH DEPICTING SEX ORGANS OF CHILD,70.0
OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,70.0
OFFENSE INVOLVING CHILDREN,CONTRIBUTE TO THE CRIMINAL DELINQUENCY OF CHILD,70.0
OFFENSE INVOLVING CHILDREN,SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,70.0
OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE / HEALTH OF CHILD,70.0
ROBBERY,ARMED - OTHER DANGEROUS WEAPON,70.0
OFFENSE INVOLVING CHILDREN,CONTRIBUTE TO THE DELINQUENCY OF CHILD,70.0
OFFENSE INVOLVING CHILDREN,CHILD ABUSE,70.0
OFFENSE INVOLVING CHILDREN,CHILD ABANDONMENT,70.0
OFFENSE INVOLVING CHILDREN,CHILD PORNOGRAPHY,70.0
OFFENSE INVOLVING CHILDREN,CHILD ABDUCTION,70.0
ROBBERY,AGGRAVATED VEHICULAR HIJACKING,70.0
CRIMINAL SEXUAL ASSAULT,AGGRAVATED - HANDGUN,67.0
CRIMINAL SEXUAL ASSAULT,AGGRAVATED - OTHER FIREARM,67.0
BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",65.0
BATTERY,"AGGRAVATED - HANDS, FISTS, FEET, SERIOUS INJURY",65.0
BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,65.0
BATTERY,"AGGRAVATED - HANDS, FISTS, FEET, NO / MINOR INJURY",65.0
BATTERY,OF AN UNBORN CHILD,65.0
BATTERY,AGGRAVATED PROTECTED EMPLOYEE - OTHER DANGEROUS WEAPON,65.0
BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, SERIOUS INJURY",65.0
BATTERY,AGGRAVATED POLICE OFFICER - OTHER DANGEROUS WEAPON,65.0
BATTERY,AGGRAVATED OF A SENIOR CITIZEN,65.0
ROBBERY,ATTEMPT ARMED - KNIFE / CUTTING INSTRUMENT,63.0
ARSON,POSSESSION - CHEMICAL / DRY-ICE DEVICE,60.0
ARSON,POSSESSION - EXPLOSIVE / INCENDIARY DEVICE,60.0
ROBBERY,ATTEMPT ARMED - OTHER DANGEROUS WEAPON,60.0
ROBBERY,ATTEMPT AGGRAVATED,60.0
ARSON,BY EXPLOSIVE,60.0
ARSON,BY FIRE,60.0
BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",58.0
CRIMINAL SEXUAL ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,58.0
BATTERY,DOMESTIC BATTERY SIMPLE,58.0
CRIMINAL SEXUAL ASSAULT,ATTEMPT AGGRAVATED - OTHER FIREARM,57.0
CRIMINAL SEXUAL ASSAULT,ATTEMPT AGGRAVATED - HANDGUN,57.0
ASSAULT,AGGRAVATED PROTECTED EMPLOYEE - OTHER DANGEROUS WEAPON,55.0
OFFENSE INVOLVING CHILDREN,MINOR DISSEMINATE INDECENT DEPICT ANOTHER MINOR ELEC DEVICE,55.0
OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,55.0
ROBBERY,STRONG ARM - NO WEAPON,55.0
OFFENSE INVOLVING CHILDREN,POSSESSION OF PORNOGRAPHIC PRINT,55.0
STALKING,AGGRAVATED,55.0
ASSAULT,"AGGRAVATED POLICE OFFICER - HANDS, FISTS, FEET, NO INJURY",55.0
ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,55.0
OFFENSE INVOLVING CHILDREN,HARBOR RUNAWAY,55.0
OFFENSE INVOLVING CHILDREN,CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,55.0
ASSAULT,AGGRAVATED POLICE OFFICER - OTHER DANGEROUS WEAPON,55.0
BURGLARY,FORCIBLE ENTRY,55.0
OFFENSE INVOLVING CHILDREN,SALE OF TOBACCO PRODUCTS TO MINOR,55.0
ROBBERY,VEHICULAR HIJACKING,55.0
BATTERY,"AGG. PROTECTED EMPLOYEE - HANDS, FISTS, FEET, SERIOUS INJURY",50.0
ARSON,ATTEMPT ARSON,50.0
BATTERY,SIMPLE,50.0
BATTERY,"PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",50.0
CRIMINAL SEXUAL ASSAULT,ATTEMPT AGGRAVATED - KNIFE / CUTTING INSTRUMENT,48.0
WEAPONS VIOLATION,UNLAWFUL USE / SALE OF AIR RIFLE,45.0
ROBBERY,ATTEMPT STRONG ARM - NO WEAPON,45.0
WEAPONS VIOLATION,UNLAWFUL POSSESSION - AMMUNITION,45.0
BURGLARY,HOME INVASION,45.0
BURGLARY,UNLAWFUL ENTRY,45.0
BURGLARY,BURGLARY FROM MOTOR VEHICLE,45.0
BURGLARY,ATTEMPT FORCIBLE ENTRY,45.0
WEAPONS VIOLATION,USE OF METAL PIERCING BULLETS,45.0
WEAPONS VIOLATION,UNLAWFUL USE - OTHER DANGEROUS WEAPON,45.0
CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,40.0
CRIMINAL SEXUAL ASSAULT,AGGRAVATED - OTHER,40.0
CRIMINAL SEXUAL ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,40.0
SEX OFFENSE,AGGRAVATED CRIMINAL SEXUAL ABUSE,40.0
SEX OFFENSE,SEXUAL EXPLOITATION OF A CHILD,40.0
STALKING,VIOLATION OF STALKING NO CONTACT ORDER,40.0
ASSAULT,SIMPLE,40.0
SEX OFFENSE,INDECENT SOLICITATION OF A CHILD,40.0
ASSAULT,"PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",40.0
STALKING,CYBERSTALKING,40.0
STALKING,SIMPLE,40.0
CONCEALED CARRY LICENSE VIOLATION,ARMED WHILE UNDER THE INFLUENCE,35.0
INTIMIDATION,EXTORTION,35.0
INTIMIDATION,EDUCATIONAL INTIMIDAITON,35.0
DECEPTIVE PRACTICE,AGGRAVATED COMPUTER TAMPERING,35.0
INTIMIDATION,INTIMIDATION OF LAW ENFORCEMENT OFFICIAL,35.0
THEFT,OVER $500,35.0
INTIMIDATION,INTIMIDATION,35.0
DECEPTIVE PRACTICE,AGGRAVATED FINANCIAL IDENTITY THEFT,35.0
MOTOR VEHICLE THEFT,AUTOMOBILE,30.0
THEFT,FROM BUILDING,30.0
THEFT,POCKET-PICKING,30.0
THEFT,RETAIL THEFT,30.0
MOTOR VEHICLE THEFT,"THEFT / RECOVERY - CYCLE, SCOOTER, BIKE NO VIN",30.0
MOTOR VEHICLE THEFT,"THEFT / RECOVERY - TRUCK, BUS, MOBILE HOME",30.0
CRIMINAL SEXUAL ASSAULT,ATTEMPT NON-AGGRAVATED,30.0
SEX OFFENSE,ATTEMPT AGGRAVATED CRIMINAL SEXUAL ABUSE,30.0
CRIMINAL SEXUAL ASSAULT,ATTEMPT AGGRAVATED - OTHER,30.0
THEFT,DELIVERY CONTAINER THEFT,30.0
MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE WITH VIN",30.0
MOTOR VEHICLE THEFT,"THEFT / RECOVERY - CYCLE, SCOOTER, BIKE WITH VIN",30.0
THEFT,PURSE-SNATCHING,30.0
THEFT,THEFT FROM MOTOR VEHICLE,30.0
MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",30.0
THEFT,FROM COIN-OPERATED MACHINE OR DEVICE,30.0
MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,30.0
MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE NO VIN",30.0
THEFT,$500 AND UNDER,30.0
CRIMINAL SEXUAL ASSAULT,ATTEMPT AGGRAVATED - OTHER DANGEROUS WEAPON,30.0
NARCOTICS,POSSESS - BARBITURATES,25.0
SEX OFFENSE,CRIM SEX ABUSE-PENETRATE - OFF < 5 YRS OLDER - VIC 13-16 YOA,25.0
NARCOTICS,POSSESS - PCP,25.0
NARCOTICS,POSSESS - HEROIN (TAN / BROWN TAR),25.0
SEX OFFENSE,CRIMINAL SEXUAL ABUSE,25.0
NARCOTICS,FOUND SUSPECT NARCOTICS,25.0
SEX OFFENSE,SEXUAL RELATIONS IN FAMILY,25.0
SEX OFFENSE,CRIMINAL TRANSMISSION OF HIV,25.0
NARCOTICS,MANUFACTURE / DELIVER - HALLUCINOGEN,25.0
NARCOTICS,FORFEIT PROPERTY,25.0
SEX OFFENSE,INDECENT SOLICITATION OF AN ADULT,25.0
NARCOTICS,DELIVER CONTROLLED SUBSTANCES TO PERSON UNDER 18,25.0
NARCOTICS,POSSESSION OF DRUG EQUIPMENT,25.0
NARCOTICS,POSSESS - LOOK-ALIKE DRUGS,25.0
NARCOTICS,POSSESS - CANNABIS MORE THAN 30 GRAMS,25.0
SEX OFFENSE,AGG CRIM SEX ABUSE - VIC 13-16 YOA - OFF 5 YR OLDER PENETRAT,25.0
NARCOTICS,MANUFACTURE / DELIVER - HEROIN (BLACK TAR),25.0
SEX OFFENSE,CRIMINAL SEXUAL ABUSE - SEXUAL PENETRATION,25.0
NARCOTICS,MANUFACTURE / DELIVER - SYNTHETIC MARIJUANA,25.0
NARCOTICS,MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS,25.0
SEX OFFENSE,FORNICATION,25.0
NARCOTICS,MANUFACTURE / DELIVER - AMPHETAMINES,25.0
NARCOTICS,CANNABIS PLANT,25.0
SEX OFFENSE,OTHER,25.0
NARCOTICS,POSSESS - HEROIN (WHITE),25.0
SEX OFFENSE,NON-CONSENSUAL DISSEMINATION OF PRIVATE SEXUAL IMAGES,25.0
NARCOTICS,MANUFACTURE / DELIVER - METHAMPHETAMINE,25.0
NARCOTICS,DELIVER CANNABIS TO PERSON UNDER 18,25.0
CRIMINAL TRESPASS,TO RESIDENCE,25.0
NARCOTICS,POSSESS - SYNTHETIC DRUGS,25.0
CRIMINAL SEXUAL ASSAULT,PREDATORY,25.0
NARCOTICS,MANUFACTURE / DELIVER -  HEROIN (WHITE),25.0
NARCOTICS,MANUFACTURE / DELIVER - PCP,25.0
NARCOTICS,CRIMINAL DRUG CONSPIRACY,25.0
NARCOTICS,MANUFACTURE / DELIVER - BARBITURATES,25.0
NARCOTICS,MANUFACTURE / DELIVER - COCAINE,25.0
NARCOTICS,MANUFACTURE / DELIVER - SYNTHETIC DRUGS,25.0
NARCOTICS,POSSESS - METHAMPHETAMINE,25.0
NARCOTICS,POSSESS - HEROIN (BLACK TAR),25.0
PUBLIC PEACE VIOLATION,ARMED VIOLENCE,25.0
NARCOTICS,SALE / DELIVER - DRUG PARAPHERNALIA,25.0
NARCOTICS,POSSESS - HALLUCINOGENS,25.0
NARCOTICS,ALTER / FORGE PRESCRIPTION,25.0
SEX OFFENSE,PUBLIC INDECENCY,25.0
NARCOTICS,MANUFACTURE / DELIVER - HEROIN (TAN / BROWN TAR),25.0
NARCOTICS,MANUFACTURE / DELIVER - CANNABIS 10 GRAMS OR LESS,25.0
PUBLIC INDECENCY,LICENSED PREMISE,25.0
OTHER NARCOTIC VIOLATION,INTOXICATING COMPOUNDS,25.0
NARCOTICS,MANUFACTURE / DELIVER - CRACK,25.0
NARCOTICS,SOLICIT NARCOTICS ON PUBLIC WAY,25.0
NARCOTICS,POSSESS - CRACK,25.0
NARCOTICS,POSSESS - COCAINE,25.0
NARCOTICS,POSSESS - HYPODERMIC NEEDLE,25.0
NARCOTICS,POSSESS - AMPHETAMINES,25.0
NARCOTICS,POSSESS - CANNABIS 30 GRAMS OR LESS,25.0
SEX OFFENSE,SOLICITATION OF A SEXUAL ACT,25.0
NARCOTICS,MANUFACTURE / DELIVER - LOOK-ALIKE DRUG,25.0
NARCOTICS,FAILURE TO MAINTAIN RECORDS - CONTROLLED SUBSTANCES,25.0
SEX OFFENSE,BIGAMY,25.0
NARCOTICS,POSSESSION - SYNTHETIC MARIJUANA,25.0
OTHER OFFENSE,VIOLATION OF BAIL BOND - DOMESTIC VIOLENCE,23.0
DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,20.0
DECEPTIVE PRACTICE,STATE BENEFITS FRAUD,20.0
DECEPTIVE PRACTICE,CREDIT CARD FRAUD,20.0
DECEPTIVE PRACTICE,FORGERY,20.0
DECEPTIVE PRACTICE,PUBLIC AID WIRE/MAIL FRAUD - VIA MAIL/PACKAGE/DELIVERY SYS,20.0
DECEPTIVE PRACTICE,BOGUS CHECK,20.0
PROSTITUTION,SOLICIT ON PUBLIC WAY,20.0
DECEPTIVE PRACTICE,UNLAWFUL USE OF RECORDED SOUND,20.0
DECEPTIVE PRACTICE,WIC FRAUD,20.0
DECEPTIVE PRACTICE,PAY TV SERVICE OFFENSES,20.0
DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,20.0
INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING JUSTICE,20.0
INTERFERENCE WITH PUBLIC OFFICER,INTERFERENCE JUDICIAL PROCESS,20.0
DECEPTIVE PRACTICE,DECEPTIVE COLLECTION PRACTICES,20.0
PROSTITUTION,SOLICITING FOR BUSINESS,20.0
INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING SERVICE,20.0
DECEPTIVE PRACTICE,EMBEZZLEMENT,20.0
DECEPTIVE PRACTICE,INSURANCE FRAUD,20.0
DECEPTIVE PRACTICE,ILLEGAL POSSESSION CASH CARD,20.0
DECEPTIVE PRACTICE,UNAUTHORIZED VIDEOTAPING,20.0
PROSTITUTION,JUVENILE PIMPING,20.0
PROSTITUTION,PANDERING,20.0
PROSTITUTION,PIMPING,20.0
PROSTITUTION,CALL OPERATION,20.0
DECEPTIVE PRACTICE,PLACE VIDEO RECORD/TRANSMIT DEVICE - RESTROOM/TAN SALON/CHNG,20.0
PROSTITUTION,OTHER PROSTITUTION OFFENSE,20.0
DECEPTIVE PRACTICE,UNAUTH VIDEO RECORD/TRANSMIT LIVE VIDEO UNDER/THRU CLOTHES,20.0
DECEPTIVE PRACTICE,"PUBLIC AIR WIRE AND MAIL FRAUD - VIA WIRE, RADIO, TELEVISION",20.0
PROSTITUTION,KEEPING PLACE OF PROSTITUTION,20.0
DECEPTIVE PRACTICE,LIBRARY THEFT,20.0
DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,20.0
DECEPTIVE PRACTICE,THEFT OF LABOR / SERVICES,20.0
MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,20.0
DECEPTIVE PRACTICE,UNLAWFUL USE OF A COMPUTER,20.0
DECEPTIVE PRACTICE,"THEFT BY LESSEE, NON-MOTOR VEHICLE",20.0
PROSTITUTION,SOLICIT OFF PUBLIC WAY,20.0
DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,20.0
THEFT,ATTEMPT THEFT,20.0
DECEPTIVE PRACTICE,STOLEN PROPERTY BUY / RECEIVE / POSSESS,20.0
MOTOR VEHICLE THEFT,"ATTEMPT - CYCLE, SCOOTER, BIKE WITH VIN",20.0
PROSTITUTION,SOLICITING FOR A PROSTITUTE,20.0
MOTOR VEHICLE THEFT,"ATTEMPT - TRUCK, BUS, MOTOR HOME",20.0
INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,20.0
CONCEALED CARRY LICENSE VIOLATION,OTHER,20.0
DECEPTIVE PRACTICE,COUNTERFEIT CHECK,20.0
INTERFERENCE WITH PUBLIC OFFICER,ESCAPE,20.0
DECEPTIVE PRACTICE,FINANCIAL EXPLOITATION OF AN ELDERLY OR DISABLED PERSON,20.0
DECEPTIVE PRACTICE,"THEFT BY LESSEE, MOTOR VEHICLE",20.0
INTERFERENCE WITH PUBLIC OFFICER,BRIBERY,20.0
MOTOR VEHICLE THEFT,"ATTEMPT - CYCLE, SCOOTER, BIKE NO VIN",20.0
DECEPTIVE PRACTICE,THEFT OF LOST / MISLAID PROPERTY,20.0
CONCEALED CARRY LICENSE VIOLATION,PROHIBITED PLACES,20.0
DECEPTIVE PRACTICE,IMPERSONATION,20.0
INTERFERENCE WITH PUBLIC OFFICER,RESIST / OBSTRUCT / DISARM OFFICER,20.0
INTERFERENCE WITH PUBLIC OFFICER,OFFICIAL MISCONDUCT,20.0
DECEPTIVE PRACTICE,POSSESS KEYS OR DEVICE TO COIN MACHINE,20.0
DECEPTIVE PRACTICE,"FALSE INFO - CERTIFICATION, LICENSING CRIMINAL BACKGROUND EM",20.0
DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,20.0
DECEPTIVE PRACTICE,COMPUTER FRAUD,20.0
DECEPTIVE PRACTICE,PBLC AID WIRE AND MAIL FRAUD- UNLAW OBT PBLC AID,20.0
INTERFERENCE WITH PUBLIC OFFICER,AIDING ARRESTEE ESCAPE,20.0
INTERFERENCE WITH PUBLIC OFFICER,REFUSING TO AID AN OFFICER,20.0
OTHER OFFENSE,OBSCENE TELEPHONE CALLS,15.0
OTHER OFFENSE,HARASSMENT BY TELEPHONE,15.0
OBSCENITY,POST GRAPHIC INFO PORGNOGRAPHIC INTERNET OR POSS GRAPHIC INF,15.0
NARCOTICS,ATTEMPT POSSESSION CANNABIS,15.0
SEX OFFENSE,ATTEMPT CRIMINAL SEXUAL ABUSE,15.0
OTHER OFFENSE,GUN OFFENDER - ANNUAL REGISTRATION,15.0
OTHER OFFENSE,ARSONIST - ANNUAL REGISTRATION,15.0
OTHER OFFENSE,HAZARDOUS MATERIALS VIOLATION,15.0
OTHER OFFENSE,GUN OFFENDER - DUTY TO REGISTER,15.0
OTHER OFFENSE,LICENSE VIOLATION,15.0
OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,15.0
OTHER OFFENSE,OTHER VEHICLE OFFENSE,15.0
OTHER OFFENSE,OTHER ARSON / EXPLOSIVE INCIDENT,15.0
OTHER OFFENSE,ARSONIST - FAIL TO REGISTER NEW ADDRESS,15.0
CRIMINAL TRESPASS,TO LAND,15.0
OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,15.0
OTHER OFFENSE,VIOLATION OF SUMMARY CLOSURE,15.0
OTHER OFFENSE,VEHICLE TITLE / REGISTRATION OFFENSE,15.0
OBSCENITY,OBSCENE MATTER,15.0
OTHER OFFENSE,VIOLENT OFFENDER - FAIL TO REGISTER NEW ADDRESS,15.0
OBSCENITY,SALE / DISTRIBUTE OBSCENE MATERIAL TO MINOR,15.0
OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,15.0
OTHER OFFENSE,EAVESDROPPING,15.0
OTHER OFFENSE,COMPOUNDING A CRIME,15.0
OTHER OFFENSE,PROBATION VIOLATION,15.0
OTHER OFFENSE,MONEY LAUNDERING,15.0
OTHER OFFENSE,INTERNET OFFENSES - ELECTRONIC FENCING,15.0
OTHER OFFENSE,UNLAWFUL USE OF BODY ARMOR,15.0
OTHER OFFENSE,INTERFERE WITH HIGHER EDUCATION,15.0
CRIMINAL TRESPASS,TO STATE SUP LAND,15.0
OTHER OFFENSE,INTERNET OFFENSES - INTENT OF ONLINE SALE OF STOLEN PROPERTY,15.0
OTHER OFFENSE,ANIMAL FIGHTING,15.0
OTHER OFFENSE,SEX OFFENDER - PROHIBITED ZONE,15.0
NARCOTICS,ATTEMPT POSSESSION NARCOTICS,15.0
OTHER OFFENSE,TELEPHONE THREAT,15.0
OTHER OFFENSE,OTHER CRIME AGAINST PERSON,15.0
OTHER OFFENSE,VIOLATION GPS MONITORING DEVICE,15.0
OTHER OFFENSE,SEX OFFENDER - FAIL TO REGISTER,15.0
OTHER OFFENSE,OTHER CRIME INVOLVING PROPERTY,15.0
OTHER OFFENSE,OTHER WEAPONS VIOLATION,15.0
OTHER OFFENSE,BOARD PLANE WITH WEAPON,15.0
OTHER OFFENSE,ABUSE / NEGLECT - CARE FACILITY,15.0
OTHER OFFENSE,TAMPER WITH MOTOR VEHICLE,15.0
OTHER OFFENSE,GUN OFFENDER - DUTY TO REPORT CHANGE OF INFORMATION,15.0
OTHER OFFENSE,VIOLENT OFFENDER - ANNUAL REGISTRATION,15.0
OBSCENITY,OBSCENITY,15.0
CRIMINAL TRESPASS,TO AIRPORT,15.0
OTHER OFFENSE,POSSESSION OF BURGLARY TOOLS,15.0
OTHER OFFENSE,VIOLENT OFFENDER - DUTY TO REGISTER,15.0
OTHER OFFENSE,PAROLE VIOLATION,15.0
OTHER OFFENSE,ANIMAL ABUSE / NEGLECT,15.0
OTHER OFFENSE,SEX OFFENDER - FAIL TO REGISTER NEW ADDRESS,15.0
OTHER OFFENSE,VIOLATION OF SMOKING BAN,15.0
OTHER OFFENSE,VIOLATION OF CIVIL NO CONTACT ORDER,15.0
CRIMINAL TRESPASS,TO VEHICLE,15.0
CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,12.0
CRIMINAL DAMAGE,INSTITUTIONAL VANDALISM,12.0
CRIMINAL DAMAGE,TO PROPERTY,12.0
CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,12.0
CRIMINAL DAMAGE,TO STATE SUPPORTED PROPERTY,12.0
CRIMINAL DAMAGE,TO VEHICLE,12.0
CRIMINAL DAMAGE,TO FIRE FIGHT.APP.EQUIP,12.0
CRIMINAL DAMAGE,LIBRARY VANDALISM,12.0
PUBLIC PEACE VIOLATION,BOMB THREAT,10.0
DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,10.0
PUBLIC PEACE VIOLATION,INTERFERE WITH EMERGENCY EQUIPMENT,10.0
PUBLIC PEACE VIOLATION,SELL / ADVERTISE FIREWORKS,10.0
PUBLIC PEACE VIOLATION,FALSE POLICE REPORT,10.0
PUBLIC PEACE VIOLATION,PEEPING TOM,10.0
PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,10.0
PUBLIC PEACE VIOLATION,PUBLIC DEMONSTRATION,10.0
PUBLIC PEACE VIOLATION,FALSE FIRE ALARM,10.0
PUBLIC PEACE VIOLATION,TIRE DEFLATION DEVICE DEPLOYMENT,10.0
PUBLIC PEACE VIOLATION,ARSON THREAT,10.0
PUBLIC PEACE VIOLATION,MOB ACTION,10.0
PUBLIC PEACE VIOLATION,OTHER VIOLATION,10.0
GAMBLING,GAME/DICE,8.0
LIQUOR LAW VIOLATION,ILLEGAL POSSESSION BY MINOR,8.0
LIQUOR LAW VIOLATION,ILLEGAL CONSUMPTION BY MINOR,8.0
LIQUOR LAW VIOLATION,SELL / GIVE / DELIVER LIQUOR TO MINOR,8.0
LIQUOR LAW VIOLATION,LIQUOR LICENSE VIOLATION,8.0
GAMBLING,OTHER,8.0
GAMBLING,GAME / AMUSEMENT DEVICE,8.0
LIQUOR LAW VIOLATION,MINOR MISREPRESENT AGE,8.0
LIQUOR LAW VIOLATION,EMPLOY MINOR,8.0
NON-CRIMINAL,CONCEALED CARRY LICENSE REVOCATION,0.0
